Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2007,26,CIN,NL,90,337,14,0,0,1,1,16,1.5,11,26,2.5,0.517,0.51,2.4,0.2,25,"$380,000 ",8H9/7,
2008,27,TEX,AL,156,704,30,3,3,-7,0,29,3.1,25,54,5.5,0.519,0.518,6.1,-0.6,61,"$396,830 ",*89D/H,ASMVP-7SS
2009,28,TEX,AL,89,365,-8,0,1,-1,0,-8,-0.7,14,6,0.6,0.491,0.495,0.7,-0.1,7,"$555,000 ",89/DH,AS
2010,29,TEX,AL,133,571,51,4,3,11,-4,64,6.7,21,85,8.7,0.549,0.54,7.6,0.8,74,"$3,250,000 ",*78D/H,ASMVP-1SS
2011,30,TEX,AL,121,538,17,1,1,3,-3,19,2,19,38,3.8,0.516,0.512,3.5,0,35,"$8,750,000 ",*78/D,ASMVP-22
2012,31,TEX,AL,148,636,26,1,1,-8,-2,17,1.7,24,41,4,0.512,0.511,5,-1.1,49,"$13,750,000 ",*87D/9H,ASMVP-5SS
2013,32,LAA,AL,151,636,3,1,0,-8,-7,-11,-0.9,23,12,1.3,0.492,0.493,2,-1.4,20,"$17,000,000 ",9D7/8H,
2014,33,LAA,AL,89,381,5,-2,1,-1,-4,-1,0.1,14,13,1.4,0.499,0.5,1.5,-0.4,14,"$17,000,000 ",7D/8H,
2015,34,TEX,AL,50,182,-1,0,1,0,-2,-2,-0.2,7,4,0.5,0.495,0.499,0.4,-0.2,4,"$22,708,749 ",79/HD,
